# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   82       2.956014933883e-10       7.110012058376e-14      -1.562387169972e-12       2.790660670666e-16       1.681200213857e-11       2.102039783026e-12      -8.506141691005e-15 
   83       2.992280670307e-10       7.326467315075e-14      -1.641396537568e-12       2.859252045207e-16       1.631114256201e-11       2.050046604725e-12      -8.419731405526e-15 
   84       3.028886607771e-10       7.544213172493e-14      -1.721639270739e-12       2.928688466180e-16       1.582800559804e-11       1.999779412577e-12      -8.347898909694e-15 
   85       3.065837835381e-10       7.763075457517e-14      -1.803065251529e-12       2.998972207087e-16       1.536227803426e-11       1.951211514080e-12      -8.289267482527e-15 
   86       3.103140038785e-10       7.982882318405e-14      -1.885622939906e-12       3.070105681029e-16       1.491392968862e-11       1.904343997071e-12      -8.241902683476e-15 
   87       3.140796409641e-10       8.203457211333e-14      -1.969258854741e-12       3.142091476304e-16       1.448272789458e-11       1.859156996193e-12      -8.203594056910e-15 
   88       3.178807518408e-10       8.424618904588e-14      -2.053917575835e-12       3.214932361376e-16       1.406822911401e-11       1.815608814491e-12      -8.171846074765e-15 
   89       3.217171187154e-10       8.646181482782e-14      -2.139541745936e-12       3.288631289837e-16       1.366977054997e-11       1.773635045018e-12      -8.143869079197e-15 
   90       3.255882362350e-10       8.867954351047e-14      -2.226072072759e-12       3.363191405377e-16       1.328646175951e-11       1.733147692432e-12      -8.116570225232e-15 
   91       3.294932987673e-10       9.089742239245e-14      -2.313447331008e-12       3.438616046746e-16       1.291717626655e-11       1.694034294596e-12      -8.086544423418e-15 
   92       3.334311876803e-10       9.311345206167e-14      -2.401604364393e-12       3.514908752724e-16       1.256054317463e-11       1.656157044178e-12      -8.050065282471e-15 
   93       3.374008382408e-10       9.532561632221e-14      -2.490479026070e-12       3.592073350550e-16       1.221527175703e-11       1.619386452994e-12      -8.003941877602e-15 
   94       3.414024310603e-10       9.753197703223e-14      -2.580009157354e-12       3.670114225648e-16       1.188119928775e-11       1.583710044666e-12      -7.948256129417e-15 
   95       3.454363571581e-10       9.973059367378e-14      -2.670132062826e-12       3.749036101839e-16       1.155838603058e-11       1.549138461340e-12      -7.884022296541e-15 
   96       3.495028469014e-10       1.019194951851e-13      -2.760783626532e-12       3.828843967522e-16       1.124679253849e-11       1.515671978708e-12      -7.812360623200e-15 
   97       3.536019624958e-10       1.040966804129e-13      -2.851898326884e-12       3.909543081778e-16       1.094627583717e-11       1.483300101767e-12      -7.734500166921e-15 
   98       3.577335904765e-10       1.062601185644e-13      -2.943409251566e-12       3.991138980489e-16       1.065658560858e-11       1.452001160589e-12      -7.651781626233e-15 
   99       3.618974341993e-10       1.084077496601e-13      -3.035248112432e-12       4.073637482445e-16       1.037736037449e-11       1.421741906078e-12      -7.565660168362e-15 
  100       3.660930063311e-10       1.105374849855e-13      -3.127345260409e-12       4.157044695458e-16       1.010812368000e-11       1.392477105733e-12      -7.477708256926e-15 
  101       3.703196213414e-10       1.126472075435e-13      -3.219629700398e-12       4.241367022472e-16       9.848280277132e-12       1.364149139416e-12      -7.389618479637e-15 
  102       3.745763879928e-10       1.147347725071e-13      -3.312029106175e-12       4.326611167677e-16       9.597112308333e-12       1.336687595108e-12      -7.303206375998e-15 
  103       3.788622018318e-10       1.167980076708e-13      -3.404469835294e-12       4.412784142615e-16       9.353775490041e-12       1.310008864676e-12      -7.220413264999e-15 
  104       3.831759907888e-10       1.188347678384e-13      -3.496877589250e-12       4.499893055675e-16       9.117490117743e-12       1.284035676000e-12      -7.142890184321e-15 
  105       3.875175059338e-10       1.208431053760e-13      -3.589179463428e-12       4.587944434993e-16       8.888151686643e-12       1.258759564963e-12      -7.070679608173e-15 
  106       3.918866240381e-10       1.228211236485e-13      -3.681302203142e-12       4.676944825050e-16       8.665796025979e-12       1.234186128190e-12      -7.003360091372e-15 
  107       3.962830993341e-10       1.247669261742e-13      -3.773171604829e-12       4.766900998814e-16       8.450410188031e-12       1.210315657354e-12      -6.940447501420e-15 
  108       4.007065587879e-10       1.266786176704e-13      -3.864712538043e-12       4.857819961476e-16       8.241930772564e-12       1.187142954020e-12      -6.881393243040e-15 
  109       4.051564973711e-10       1.285543050977e-13      -3.955848967443e-12       4.949708954175e-16       8.040242251264e-12       1.164657144489e-12      -6.825582482697e-15 
  110       4.096322733335e-10       1.303920987053e-13      -4.046503974792e-12       5.042575457734e-16       7.845175292180e-12       1.142841494642e-12      -6.772332373126e-15 
  111       4.141331034753e-10       1.321901130760e-13      -4.136599780944e-12       5.136427196387e-16       7.656505084164e-12       1.121673224782e-12      -6.720890277863e-15 
  112       4.186580584196e-10       1.339464681709e-13      -4.226057767839e-12       5.231272141513e-16       7.473949661312e-12       1.101123324479e-12      -6.670431995768e-15 
  113       4.232060578845e-10       1.356592903745e-13      -4.314798500493e-12       5.327118515366e-16       7.297168227402e-12       1.081156367413e-12      -6.620059985558e-15 
  114       4.277758659556e-10       1.373267135398e-13      -4.402741748992e-12       5.423974794807e-16       7.125759480337e-12       1.061730326220e-12      -6.568801590327e-15 
