# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.558294737083e-01       6.516675676334e+02 
       3.590354062722e-01       6.395934112795e+02 
       3.622413392869e-01       6.281722113683e+02 
       3.654472727405e-01       6.173590332552e+02 
       3.686532066214e-01       6.070998703816e+02 
       3.718591409186e-01       5.972536163139e+02 
       3.750650756213e-01       5.877577555161e+02 
       3.782710107193e-01       5.784477743193e+02 
       3.814769462024e-01       5.693370729548e+02 
       3.846828820611e-01       5.602846231645e+02 
       3.878888182859e-01       5.513221128468e+02 
       3.910947548679e-01       5.423978926340e+02 
       3.943006917982e-01       5.335039065620e+02 
       3.975066290685e-01       5.246602200796e+02 
       4.007125666705e-01       5.158535464759e+02 
       4.039185045963e-01       5.071431885920e+02 
       4.071244428382e-01       4.985613718452e+02 
       4.103303813888e-01       4.901546645643e+02 
       4.135363202409e-01       4.819821506187e+02 
       4.167422593874e-01       4.740198422083e+02 
       4.199481988217e-01       4.663060469127e+02 
       4.231541385371e-01       4.588567694600e+02 
       4.263600785273e-01       4.516558517154e+02 
       4.295660187862e-01       4.446938935818e+02 
       4.327719593076e-01       4.379647511903e+02 
       4.359779000859e-01       4.314439488113e+02 
       4.391838411153e-01       4.251140732769e+02 
       4.423897823905e-01       4.189490376662e+02 
       4.455957239059e-01       4.129084683965e+02 
       4.488016656566e-01       4.069963578174e+02 
       4.520076076375e-01       4.011705599443e+02 
       4.552135498436e-01       3.954150410286e+02 
       4.584194922703e-01       3.897225575975e+02 
       4.616254349129e-01       3.840930329878e+02 
       4.648313777669e-01       3.785288813773e+02 
       4.680373208281e-01       3.730421027664e+02 
       4.712432640921e-01       3.676305388384e+02 
       4.744492075548e-01       3.623026075818e+02 
       4.776551512123e-01       3.570827065449e+02 
       4.808610950605e-01       3.519469040035e+02 
       4.840670390958e-01       3.469270992640e+02 
       4.872729833143e-01       3.420291899399e+02 
       4.904789277126e-01       3.372597046873e+02 
       4.936848722870e-01       3.326220529148e+02 
       4.968908170342e-01       3.281061341356e+02 
       5.000967619508e-01       3.237025644006e+02 
       5.033027070336e-01       3.193985183434e+02 
       5.065086522793e-01       3.151856488374e+02 
       5.097145976851e-01       3.110543270475e+02 
       5.129205432477e-01       3.069897428524e+02 
       5.161264889643e-01       3.030069697322e+02 
       5.193324348321e-01       2.990875842652e+02 
       5.225383808481e-01       2.952390050195e+02 
       5.257443270098e-01       2.914252686292e+02 
       5.289502733145e-01       2.876619658531e+02 
       5.321562197595e-01       2.839482785650e+02 
       5.353621663423e-01       2.802901800118e+02 
       5.385681130605e-01       2.766878814993e+02 
       5.417740599117e-01       2.731393300457e+02 
       5.449800068935e-01       2.696786848346e+02 
       5.481859540036e-01       2.662734265031e+02 
       5.513919012397e-01       2.629338411441e+02 
       5.545978485997e-01       2.596550553338e+02 
       5.578037960815e-01       2.564376274347e+02 
       5.610097436828e-01       2.532828838575e+02 
       5.642156914018e-01       2.501919721501e+02 
       5.674216392363e-01       2.471607500561e+02 
       5.706275871845e-01       2.441897604262e+02 
       5.738335352445e-01       2.412724593613e+02 
       5.770394834142e-01       2.384045333648e+02 
       5.802454316920e-01       2.355815236312e+02 
       5.834513800761e-01       2.328011788764e+02 
       5.866573285646e-01       2.300633244670e+02 
       5.898632771560e-01       2.273675490061e+02 
       5.930692258484e-01       2.247141889484e+02 
       5.962751746404e-01       2.221018200644e+02 
       5.994811235302e-01       2.195283140850e+02 
       6.026870725164e-01       2.169916089482e+02 
       6.058930215973e-01       2.144908724454e+02 
       6.090989707716e-01       2.120266688943e+02 
       6.123049200376e-01       2.096006758654e+02 
       6.155108693940e-01       2.072151516190e+02 
       6.187168188394e-01       2.048710534552e+02 
       6.219227683724e-01       2.025678864866e+02 
       6.251287179916e-01       2.003036574223e+02 
       6.283346676958e-01       1.980756251277e+02 
       6.315406174835e-01       1.958831541452e+02 
       6.347465673536e-01       1.937249344276e+02 
       6.379525173048e-01       1.916009922703e+02 
       6.411584673359e-01       1.895117927028e+02 
       6.443644174457e-01       1.874565743103e+02 
       6.475703676330e-01       1.854336849336e+02 
       6.507763178966e-01       1.834408189120e+02 
       6.539822682355e-01       1.814758514451e+02 
       6.571882186486e-01       1.795372323036e+02 
       6.603941691347e-01       1.776248046639e+02 
       6.636001196928e-01       1.757394941562e+02 
       6.668060703218e-01       1.738820910322e+02 
       6.700120210208e-01       1.720527653521e+02 
       6.732179717888e-01       1.702509239189e+02 
       6.764239226246e-01       1.684752580308e+02 
       6.796298735275e-01       1.667242163362e+02 
       6.828358244964e-01       1.649970778756e+02 
       6.860417755304e-01       1.632948662569e+02 
       6.892477266286e-01       1.616168921595e+02 
       6.924536777901e-01       1.599646306691e+02 
       6.956596290141e-01       1.583381730090e+02 
       6.988655802996e-01       1.567363490367e+02 
       7.020715316458e-01       1.551577139299e+02 
       7.052774830519e-01       1.536006362850e+02 
       7.084834345172e-01       1.520644199755e+02 
       7.116893860407e-01       1.505487753369e+02 
       7.148953376216e-01       1.490540748320e+02 
       7.181012892593e-01       1.475808963446e+02 
       7.213072409530e-01       1.461290566164e+02 
       7.245131927019e-01       1.446981277832e+02 
       7.277191445053e-01       1.432857774882e+02 
       7.309250963624e-01       1.418912988484e+02 
       7.341310482726e-01       1.405142617264e+02 
       7.373370002352e-01       1.391550143841e+02 
       7.405429522495e-01       1.378140251708e+02 
       7.437489043147e-01       1.364916698295e+02 
       7.469548564304e-01       1.351882014689e+02 
       7.501608085957e-01       1.339023315507e+02 
       7.533667608102e-01       1.326340300802e+02 
       8.234874393572e-01       1.086173782485e+02 
       9.251239436205e-01       8.340964666282e+01 
       1.086877444300e+00       5.758177019449e+01 
